1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12
pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value,pixels,value
0,163.25,0,167.125,0,160.2407,0,163.8704,0,163.25,0,167.125,0,160.2407,0,163.8704,0,163.25,0,167.125,0,160.2407,0,163.8704
1,166.4943,1,167.6736,1,159.4286,1,161.3265,1,166.4943,1,167.6736,1,159.4286,1,161.3265,1,166.4943,1,167.6736,1,159.4286,1,161.3265
2,166.124,2,154.9807,2,153.1916,2,157.0317,2,166.124,2,154.9807,2,153.1916,2,157.0317,2,166.124,2,154.9807,2,153.1916,2,157.0317
3,150.4785,3,142.0854,3,140.7075,3,144.5004,3,150.4785,3,142.0854,3,140.7075,3,144.5004,3,150.4785,3,142.0854,3,140.7075,3,144.5004
4,123.3313,4,130.265,4,134.3878,4,126.2959,4,123.3313,4,130.265,4,134.3878,4,126.2959,4,123.3313,4,130.265,4,134.3878,4,126.2959
5,118.6204,5,121.7369,5,135.6009,5,113.0453,5,118.6204,5,121.7369,5,135.6009,5,113.0453,5,118.6204,5,121.7369,5,135.6009,5,113.0453
6,116.2837,6,122.311,6,129.4803,6,110.3039,6,116.2837,6,122.311,6,129.4803,6,110.3039,6,116.2837,6,122.311,6,129.4803,6,110.3039
7,110.0532,7,118.9229,7,119.6111,7,113.2778,7,110.0532,7,118.9229,7,119.6111,7,113.2778,7,110.0532,7,118.9229,7,119.6111,7,113.2778
8,109.407,8,110.4879,8,113.9626,8,112.5499,8,109.407,8,110.4879,8,113.9626,8,112.5499,8,109.407,8,110.4879,8,113.9626,8,112.5499
9,110.6479,9,103.7879,9,113.4051,9,112.5299,9,110.6479,9,103.7879,9,113.4051,9,112.5299,9,110.6479,9,103.7879,9,113.4051,9,112.5299
10,107.2837,10,103.9453,10,111.0397,10,114.4932,10,107.2837,10,103.9453,10,111.0397,10,114.4932,10,107.2837,10,103.9453,10,111.0397,10,114.4932
11,104.3333,11,104.6667,11,108.0556,11,112.8061,11,104.3333,11,104.6667,11,108.0556,11,112.8061,11,104.3333,11,104.6667,11,108.0556,11,112.8061
12,103.2961,12,99.1803,12,106.7717,12,106.7585,12,103.2961,12,99.1803,12,106.7717,12,106.7585,12,103.2961,12,99.1803,12,106.7717,12,106.7585
13,101.0606,13,96.0358,13,107.0431,13,105.2098,13,101.0606,13,96.0358,13,107.0431,13,105.2098,13,101.0606,13,96.0358,13,107.0431,13,105.2098
14,98.4242,14,97.8679,14,106.5,14,103.6667,14,98.4242,14,97.8679,14,106.5,14,103.6667,14,98.4242,14,97.8679,14,106.5,14,103.6667
15,98.1381,15,101.8209,15,106.0597,15,96.6202,15,98.1381,15,101.8209,15,106.0597,15,96.6202,15,98.1381,15,101.8209,15,106.0597,15,96.6202
16,100.6453,16,105.509,16,103.983,16,91.9558,16,100.6453,16,105.509,16,103.983,16,91.9558,16,100.6453,16,105.509,16,103.983,16,91.9558
17,102.1055,17,107.7727,17,102.8912,17,93.3141,17,102.1055,17,107.7727,17,102.8912,17,93.3141,17,102.1055,17,107.7727,17,102.8912,17,93.3141
18,100.1515,18,106.964,18,101.7392,18,97.7018,18,100.1515,18,106.964,18,101.7392,18,97.7018,18,100.1515,18,106.964,18,101.7392,18,97.7018
19,97.4599,19,104.1019,19,99.1054,19,96.9161,19,97.4599,19,104.1019,19,99.1054,19,96.9161,19,97.4599,19,104.1019,19,99.1054,19,96.9161
20,98.4532,20,105.9344,20,97.6735,20,96.2857,20,98.4532,20,105.9344,20,97.6735,20,96.2857,20,98.4532,20,105.9344,20,97.6735,20,96.2857
21,101.0725,21,107.5888,21,100.8704,21,98.0741,21,101.0725,21,107.5888,21,100.8704,21,98.0741,21,101.0725,21,107.5888,21,100.8704,21,98.0741
22,100.3333,22,104.3958,,,,,22,100.3333,22,104.3958,,,,,22,100.3333,22,104.3958,,,,
